Model,Count,Year,Month,ID,Mærke,Producent,Producent_nationalitet,Drivmiddel,CO2_Type,Segment
MG HS,3,2024,M10,1109.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
Nio ET5,1,2024,M10,1354.0,Nio,NIO,Kina,El,Nul-emission,Personbil
Opel Astra,6,2024,M10,1258.0,Opel,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Skoda Superb iV,5,2024,M10,1289.0,Skoda,Volkswagen Group,Tyskland,Hybrid,Lav-emission,Personbil
Volvo XC40,4,2024,M10,1331.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
Yunlong JJ2000DBP,4,2024,M10,1277.0,Yunlong,MG,Kina,Benzin,Fossil,Personbil
Audi A1,5,2024,M10,1292.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Audi A4,1,2024,M10,1356.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Audi Q3,27,2024,M10,1099.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Audi Q8 e-tron,4,2024,M10,1357.0,Audi,Volkswagen Group,Tyskland,El,Nul-emission,SUV/Crossover
BAW Pony,4,2024,M10,1358.0,BAW,BAW,Ukendt,Benzin,Fossil,Personbil
BMW X4,35,2024,M10,1296.0,BMW,BMW Group,Tyskland,Benzin,Fossil,SUV/Crossover
Citroen C4,5,2024,M10,1227.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Citroen C5 Aircross,2,2024,M10,1032.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Cupra Ateca,2,2024,M10,1298.0,Cupra,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
DS 4,10,2024,M10,1299.0,DS,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
DS 7 Crossback,19,2024,M10,1300.0,DS,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Ferrari Purosangue,2,2024,M10,1190.0,Ferrari,Ferrari,Italien,Benzin,Fossil,Personbil
Fiat 500,92,2024,M10,1232.0,Fiat,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Ford Tourneo Connect,1,2024,M10,1234.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Varebil/MPV
Garia SuperSport,11,2024,M10,1359.0,Garia,Garia,Danmark,Benzin,Fossil,Personbil
HDK NRG Car,1,2024,M10,1360.0,HDK,HDK Automotive,Kina,El,Nul-emission,ATV/UTV/Andet
Hongqi E-HS9,15,2024,M10,1236.0,Hongqi,FAW (Hongqi),Kina,El,Nul-emission,Personbil
Hyundai I10,42,2024,M10,1237.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Hyundai I20,30,2024,M10,1238.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Hyundai I30,13,2024,M10,1239.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Hyundai Santa Fe,5,2024,M10,1240.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,SUV/Crossover
Hyundai Tucson,28,2024,M10,1241.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,SUV/Crossover
Kia Ceed,70,2024,M10,1243.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Kia Picanto,17,2024,M10,1245.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Kia Sorento,2,2024,M10,1246.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,SUV/Crossover
Kia Sportage,8,2024,M10,1247.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,SUV/Crossover
Kia Stonic,13,2024,M10,1248.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Kia XCeed,10,2024,M10,1249.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Mazda CX-5,13,2024,M10,1311.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Mercedes-Benz AMG GT,1,2024,M10,1312.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz Citan,3,2024,M10,1313.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Varebil/MPV
Mercedes-Benz EQS,1,2024,M10,1169.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,Personbil
MG EHS,8,2024,M10,1316.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
MG Marvel R,6,2024,M10,1347.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
Mini 5-dørs,3,2024,M10,1317.0,Mini,BMW Group,Tyskland,Benzin,Fossil,Personbil
Mitsubishi Eclipse Cross,3,2024,M10,1361.0,Mitsubishi,Mitsubishi Motors,Japan,Benzin,Fossil,SUV/Crossover
Nilsson Hearse,1,2024,M10,1202.0,Nilsson Hearse,Nilsson Hearse,Sverige,Benzin,Fossil,Varebil/MPV
Nio EL6,1,2024,M10,1362.0,Nio,NIO,Kina,El,Nul-emission,Personbil
Nissan Leaf,3,2024,M10,1318.0,Nissan,Nissan Motor Co.,Japan,Benzin,Fossil,Personbil
Nissan X-Trail,23,2024,M10,1204.0,Nissan,Nissan Motor Co.,Japan,Hybrid,Lav-emission,Personbil
Opel Crossland,6,2024,M10,1260.0,Opel,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Peugeot Expert,4,2024,M10,1363.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Varebil/MPV
Peugeot Rifter,1,2024,M10,1262.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Peugeot Traveller,1,2024,M10,1321.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Varebil/MPV
Porsche Boxster,1,2024,M10,1349.0,Porsche,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Suzuki Ignis,47,2024,M10,1268.0,Suzuki,Suzuki Motor Corporation,Japan,Benzin,Fossil,Personbil
Suzuki S-Cross,4,2024,M10,1269.0,Suzuki,Suzuki Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Suzuki Swace,2,2024,M10,1270.0,Suzuki,Suzuki Motor Corporation,Japan,Benzin,Fossil,Personbil
Tesla Model X,1,2024,M10,1214.0,Tesla,"Tesla, Inc.",USA,El,Nul-emission,Personbil
Toyota C-HR,97,2024,M10,1271.0,Toyota,Toyota Motor Corporation,Japan,Hybrid,Lav-emission,Personbil
Toyota Land Cruiser,4,2024,M10,1272.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Toyota Prius,3,2024,M10,1326.0,Toyota,Toyota Motor Corporation,Japan,Hybrid,Lav-emission,Personbil
Toyota Proace City Verso,3,2024,M10,1327.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,Varebil/MPV
Toyota Proace Verso,11,2024,M10,1135.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,Varebil/MPV
Toyota Sienna,1,2024,M10,1364.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,Varebil/MPV
Volvo C40,12,2024,M10,1329.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
Volvo S60,1,2024,M10,1365.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
Volvo V60,22,2024,M10,1330.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
Volvo V90,6,2024,M10,1220.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
Volvo XC60,37,2024,M10,1275.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
Volvo XC90,1,2024,M10,1276.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
Voyah Free,2,2024,M10,1332.0,Voyah,Dongfeng (Voyah),Kina,El,Nul-emission,Personbil
Xingyun UTV,1,2024,M10,1333.0,Xingyun,Shandong Xingyun,Kina,El,Nul-emission,ATV/UTV/Andet
Tesla Model Y,1955,2025,M09,1002.0,Tesla,"Tesla, Inc.",USA,El,Nul-emission,Personbil
Skoda Elroq,1113,2025,M09,1001.0,Skoda,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Skoda Enyaq iV,822,2025,M09,1006.0,Skoda,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Volkswagen ID.4,749,2025,M09,1005.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Renault R5,534,2025,M09,1008.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
BMW iX1,438,2025,M09,1009.0,BMW,BMW Group,Tyskland,El,Nul-emission,SUV/Crossover
Volkswagen ID. Buzz,429,2025,M09,1010.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Volkswagen ID.3,395,2025,M09,1011.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Renault Scenic,347,2025,M09,1021.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
Audi A5,314,2025,M09,1115.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz EQA,307,2025,M09,1026.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,Personbil
Tesla Model 3,277,2025,M09,1179.0,Tesla,"Tesla, Inc.",USA,El,Nul-emission,Personbil
Cupra Tavascan,255,2025,M09,1065.0,Cupra,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Audi Q4 e-tron,249,2025,M09,1003.0,Audi,Volkswagen Group,Tyskland,El,Nul-emission,SUV/Crossover
Toyota Aygo X,243,2025,M09,1042.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,Personbil
Mercedes-Benz CLA,225,2025,M09,1022.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Volkswagen ID.7,225,2025,M09,1017.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Cupra Born,222,2025,M09,1007.0,Cupra,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Cupra Leon,212,2025,M09,1100.0,Cupra,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Volkswagen T-Roc,193,2025,M09,1080.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Suzuki Swift,181,2025,M09,1034.0,Suzuki,Suzuki Motor Corporation,Japan,Benzin,Fossil,Personbil
Toyota Yaris,181,2025,M09,1057.0,Toyota,Toyota Motor Corporation,Japan,Hybrid,Lav-emission,Personbil
Volkswagen Passat,167,2025,M09,1125.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Cupra Terramar,166,2025,M09,1044.0,Cupra,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Kia EV3,166,2025,M09,1033.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Nissan Qashqai,166,2025,M09,1035.0,Nissan,Nissan Motor Co.,Japan,Benzin,Fossil,SUV/Crossover
Renault Megane E-Tech,165,2025,M09,1041.0,Renault,Renault Group,Frankrig,El,Nul-emission,Personbil
Nissan Ariya,161,2025,M09,1070.0,Nissan,Nissan Motor Co.,Japan,Benzin,Fossil,Personbil
Peugeot 2008,153,2025,M09,1030.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Audi Q5,152,2025,M09,1137.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Mercedes-Benz EQB,152,2025,M09,1027.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,Personbil
BMW i5,149,2025,M09,1049.0,BMW,BMW Group,Tyskland,El,Nul-emission,Personbil
Xpeng G6,148,2025,M09,1015.0,Xpeng,XPeng,Kina,El,Nul-emission,Personbil
Volvo EX40,143,2025,M09,1018.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,SUV/Crossover
BMW 3'er,138,2025,M09,1051.0,BMW,BMW Group,Tyskland,Benzin,Fossil,Personbil
BMW X1,136,2025,M09,1013.0,BMW,BMW Group,Tyskland,Benzin,Fossil,SUV/Crossover
BMW i4,132,2025,M09,1045.0,BMW,BMW Group,Tyskland,El,Nul-emission,Personbil
Mercedes-Benz GLA,129,2025,M09,1090.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Ford Explorer,123,2025,M09,1023.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
Toyota Yaris Cross,118,2025,M09,1020.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Audi Q6 e-tron,115,2025,M09,1160.0,Audi,Volkswagen Group,Tyskland,El,Nul-emission,SUV/Crossover
Peugeot 5008,115,2025,M09,1039.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Peugeot 3008,114,2025,M09,1036.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Hyundai Ioniq 5,113,2025,M09,1050.0,Hyundai,Hyundai Motor Group,Sydkorea,El,Nul-emission,Personbil
Citroen C3,109,2025,M09,1012.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Mercedes-Benz GLC,109,2025,M09,1076.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Hyundai Ioniq 6,107,2025,M09,1133.0,Hyundai,Hyundai Motor Group,Sydkorea,El,Nul-emission,Personbil
Peugeot 208,105,2025,M09,1024.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Volkswagen ID.5,105,2025,M09,1053.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Zeekr 7X,103,2025,M09,1028.0,Zeekr,Geely (Lynk & Co),Kina,El,Nul-emission,Personbil
Toyota bZ4X,100,2025,M09,1000.0,Toyota,Toyota Motor Corporation,Japan,El,Nul-emission,Personbil
Renault R4,99,2025,M09,1016.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
Citroen C3 Aircross,98,2025,M09,1014.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Hyundai Inster,98,2025,M09,1061.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Opel Grandland,97,2025,M09,1072.0,Opel,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Audi A3,91,2025,M09,1064.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
MG ZS,90,2025,M09,1040.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
Kia EV6,87,2025,M09,1069.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Ford Puma,85,2025,M09,1054.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
Navor E5,83,2025,M09,1078.0,Navor,DFSK Motor,Kina,Benzin,Fossil,Personbil
Mercedes-Benz A-Klasse,77,2025,M09,1123.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Ford Capri,76,2025,M09,1052.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
Cupra Formentor,72,2025,M09,1062.0,Cupra,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Hyundai Kona,72,2025,M09,1043.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,SUV/Crossover
Skoda Scala,68,2025,M09,1130.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz C-Klasse,67,2025,M09,1098.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Skoda Kodiaq,65,2025,M09,1047.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Polestar 4,64,2025,M09,1048.0,Polestar,Geely (Lynk & Co),Kina,El,Nul-emission,Personbil
MG S5,63,2025,M09,1046.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
Mercedes-Benz EQE,62,2025,M09,1074.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,Personbil
MG 4,62,2025,M09,1037.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
BYD Sealion 7,61,2025,M09,1096.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Volkswagen Polo,59,2025,M09,1140.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Opel Frontera,57,2025,M09,1077.0,Opel,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Polestar 2,56,2025,M09,1097.0,Polestar,Geely (Lynk & Co),Kina,El,Nul-emission,Personbil
Mazda 6e,55,2025,M09,1019.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,Personbil
Volkswagen Touran,54,2025,M09,1182.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Audi A6 e-tron,52,2025,M09,1038.0,Audi,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Dacia Sandero,52,2025,M09,1231.0,Dacia,Renault Group,Frankrig,Benzin,Fossil,Personbil
Lexus LBX,51,2025,M09,1165.0,Lexus,Toyota Motor Corporation,Japan,Benzin,Fossil,Personbil
Volkswagen Caravelle,51,2025,M09,1217.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Varebil/MPV
BMW 1'er,50,2025,M09,1067.0,BMW,BMW Group,Tyskland,Benzin,Fossil,Personbil
Volkswagen Tiguan,49,2025,M09,1145.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Renault Captur,48,2025,M09,1266.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
Volvo EX90,48,2025,M09,1081.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
BYD Dolphin Surf,47,2025,M09,1095.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Mercedes-Benz EQE SUV,47,2025,M09,1110.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,SUV/Crossover
BMW iX2,46,2025,M09,1087.0,BMW,BMW Group,Tyskland,El,Nul-emission,SUV/Crossover
Skoda Kamiq,46,2025,M09,1112.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Skoda Octavia,43,2025,M09,1157.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
BMW 5'er,42,2025,M09,1063.0,BMW,BMW Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz GLB,42,2025,M09,1088.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
BMW iX,41,2025,M09,1089.0,BMW,BMW Group,Tyskland,El,Nul-emission,Personbil
BYD Seal U,41,2025,M09,1104.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Skoda Karoq,39,2025,M09,1094.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Ford Kuga,35,2025,M09,1060.0,Ford,Ford Motor Company,USA,Hybrid,Lav-emission,Personbil
Hongqi EHS7,35,2025,M09,1138.0,Hongqi,FAW (Hongqi),Kina,El,Nul-emission,Personbil
BMW i7,33,2025,M09,1146.0,BMW,BMW Group,Tyskland,El,Nul-emission,Personbil
BMW i7,33,2025,M09,,BMW,BMW Group,Tyskland,El,Nul-emission,Personbil
Lexus NX,33,2025,M09,1252.0,Lexus,Toyota Motor Corporation,Japan,Hybrid,Lav-emission,Personbil
Volvo EC40,32,2025,M09,1093.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
Porsche Macan,31,2025,M09,1119.0,Porsche,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Hyundai Ioniq 9,30,2025,M09,1118.0,Hyundai,Hyundai Motor Group,Sydkorea,El,Nul-emission,Personbil
Dacia Duster,28,2025,M09,1229.0,Dacia,Renault Group,Frankrig,Benzin,Fossil,Personbil
MG 3,27,2025,M09,1172.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
MAN TGE,25,2025,M09,1197.0,MAN,TRATON (Volkswagen Group),Tyskland,Benzin,Fossil,Varebil/MPV
Mini 3-dørs,25,2025,M09,1083.0,Mini,BMW Group,Tyskland,Benzin,Fossil,Personbil
Omoda 5,25,2025,M09,1129.0,Omoda,Chery Group,Kina,Benzin,Fossil,Personbil
Seat Ibiza,25,2025,M09,1073.0,Seat,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Xpeng G9,24,2025,M09,1068.0,Xpeng,XPeng,Kina,El,Nul-emission,Personbil
Audi A6,23,2025,M09,1159.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Honda ZR-V,22,2025,M09,1193.0,Honda,Honda Motor Co.,Japan,Benzin,Fossil,Personbil
BYD Atto 2,21,2025,M09,1106.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Hyundai Tucson,20,2025,M09,1241.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,SUV/Crossover
Mercedes-Benz Sprinter,20,2025,M09,1134.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Varebil/MPV
Honda e:Ny1,19,2025,M09,1086.0,Honda,Honda Motor Co.,Japan,El,Nul-emission,Personbil
Lexus RZ,19,2025,M09,1075.0,Lexus,Toyota Motor Corporation,Japan,Benzin,Fossil,Personbil
Suzuki Vitara,19,2025,M09,1029.0,Suzuki,Suzuki Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Volvo EX30,19,2025,M09,1056.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,SUV/Crossover
Kia Niro,18,2025,M09,1244.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Hyundai Bayon,17,2025,M09,1151.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Mercedes-Benz E-Klasse,17,2025,M09,1128.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Opel Mokka,17,2025,M09,1261.0,Opel,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Renault Clio,17,2025,M09,1111.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
BYD Dolphin,16,2025,M09,1187.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Ford Tourneo Custom,16,2025,M09,1082.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Varebil/MPV
Suzuki SX4,16,2025,M09,1131.0,Suzuki,Suzuki Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
BYD Atto 3,15,2025,M09,1161.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Mini Aceman,15,2025,M09,1079.0,Mini,BMW Group,Tyskland,El,Nul-emission,Personbil
Volvo XC90,15,2025,M09,1276.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
Honda CR-V,14,2025,M09,1127.0,Honda,Honda Motor Co.,Japan,Hybrid,Lav-emission,Personbil
Mazda MX-30,14,2025,M09,1199.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,Personbil
BYD Tang,13,2025,M09,1126.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Mazda CX-30,13,2025,M09,1084.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
BMW 4'er,12,2025,M09,1185.0,BMW,BMW Group,Tyskland,Benzin,Fossil,Personbil
Ford Mustang Mach-E,12,2025,M09,1147.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
MG HS,12,2025,M09,1109.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
Citroen Berlingo,11,2025,M09,1117.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,Varebil/MPV
Ford Transit,11,2025,M09,1091.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Varebil/MPV
KGM Torres EVX,11,2025,M09,1108.0,KGM,KG Mobility (tidl. SsangYong),Sydkorea,El,Nul-emission,SUV/Crossover
Toyota Proace Verso,11,2025,M09,1135.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,Varebil/MPV
Volkswagen T-Cross,11,2025,M09,1181.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
BYD Seal,9,2025,M09,1107.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Skoda Fabia,9,2025,M09,1211.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz GLE,8,2025,M09,1144.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Seat Arona,8,2025,M09,1177.0,Seat,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Audi Q2,7,2025,M09,1071.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Kia EV9,7,2025,M09,1058.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Mercedes-Benz V-Klasse,7,2025,M09,1171.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz Vito Tourer,7,2025,M09,1092.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Varebil/MPV
Renault Trafic,7,2025,M09,1176.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Varebil/MPV
Skoda Superb,7,2025,M09,1139.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Toyota Corolla Cross,7,2025,M09,1124.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Ford Focus,6,2025,M09,1162.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
Ford Transit Custom,6,2025,M09,1192.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Varebil/MPV
Land Rover Range Rover Sport,6,2025,M09,1196.0,Land Rover,Jaguar Land Rover (Tata Motors),Indien,Benzin,Fossil,SUV/Crossover
Mazda 2,6,2025,M09,1153.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,Personbil
Opel Zafira,6,2025,M09,1205.0,Opel,Stellantis,Europæisk (Multinational),Benzin,Fossil,Varebil/MPV
Polestar 3,6,2025,M09,1263.0,Polestar,Geely (Lynk & Co),Kina,El,Nul-emission,Personbil
Toyota Proace City Verso,6,2025,M09,1327.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,Varebil/MPV
Toyota RAV4,6,2025,M09,1273.0,Toyota,Toyota Motor Corporation,Japan,Hybrid,Lav-emission,SUV/Crossover
Zeekr 001,6,2025,M09,1136.0,Zeekr,Geely (Lynk & Co),Kina,El,Nul-emission,Personbil
Honda Jazz,5,2025,M09,1150.0,Honda,Honda Motor Co.,Japan,Benzin,Fossil,Personbil
Land Rover Range Rover,5,2025,M09,1283.0,Land Rover,Jaguar Land Rover (Tata Motors),Indien,Benzin,Fossil,SUV/Crossover
Mini Countryman,5,2025,M09,1102.0,Mini,BMW Group,Tyskland,Benzin,Fossil,Personbil
Subaru Solterra,5,2025,M09,1113.0,Subaru,Subaru Corporation,Japan,Benzin,Fossil,Personbil
Volkswagen Crafter,5,2025,M09,1218.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Varebil/MPV
Volkswagen Golf,5,2025,M09,1219.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
