Model,Count,Year,Month,ID,Mærke,Producent,Producent_nationalitet,Drivmiddel,CO2_Type,Segment
Volkswagen Tiguan,634.0,2023,FY,1145.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Mercedes-Benz GLB,630.0,2023,FY,1088.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Volkswagen Multivan,618.0,2023,FY,1274.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Varebil/MPV
Suzuki SX4,616.0,2023,FY,1131.0,Suzuki,Suzuki Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Xpeng G9,582.0,2023,FY,1068.0,Xpeng,XPeng,Kina,El,Nul-emission,Personbil
Mercedes-Benz GLC,559.0,2023,FY,1076.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
BMW 5'er,524.0,2023,FY,1063.0,BMW,BMW Group,Tyskland,Benzin,Fossil,Personbil
Volkswagen Golf,520.0,2023,FY,1219.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Ford Transit Custom,520.0,2023,FY,1192.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Varebil/MPV
Volvo C40,517.0,2023,FY,1329.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
Hyundai I30,505.0,2023,FY,1239.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Mercedes-Benz GLA,503.0,2023,FY,1090.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
BMW iX,492.0,2023,FY,1089.0,BMW,BMW Group,Tyskland,El,Nul-emission,Personbil
Skoda Superb,477.0,2023,FY,1139.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Renault Austral,456.0,2023,FY,1025.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
Audi Q8 e-tron,449.0,2023,FY,1357.0,Audi,Volkswagen Group,Tyskland,El,Nul-emission,SUV/Crossover
Nissan Juke,425.0,2023,FY,1103.0,Nissan,Nissan Motor Co.,Japan,Benzin,Fossil,SUV/Crossover
Ford Fiesta,424.0,2023,FY,1373.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
Volvo V60,415.0,2023,FY,1330.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
Mazda MX-30,409.0,2023,FY,1199.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,Personbil
Mercedes-Benz Sprinter,398.0,2023,FY,1134.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Varebil/MPV
Ford Focus,395.0,2023,FY,1162.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
Audi A3,390.0,2023,FY,1064.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Mazda CX-30,379.0,2023,FY,1084.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
BMW i5,367.0,2023,FY,1049.0,BMW,BMW Group,Tyskland,El,Nul-emission,Personbil
Dacia Duster,363.0,2023,FY,1229.0,Dacia,Renault Group,Frankrig,Benzin,Fossil,Personbil
Dacia Sandero,358.0,2023,FY,1231.0,Dacia,Renault Group,Frankrig,Benzin,Fossil,Personbil
Citroen C3 Aircross,352.0,2023,FY,1014.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Seat Leon,318.0,2023,FY,1210.0,Seat,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Dacia Jogger,312.0,2023,FY,1230.0,Dacia,Renault Group,Frankrig,Benzin,Fossil,Personbil
Toyota C-HR,298.0,2023,FY,1271.0,Toyota,Toyota Motor Corporation,Japan,Hybrid,Lav-emission,Personbil
